record_id,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week,plot_type
23524,20,PE,M,21,22,3/23/1996,Sat,Short-term Krat Exclosure
23536,12,DO,M,45,51,3/23/1996,Sat,Control
23540,7,RM,F,16,12,3/23/1996,Sat,Rodent Exclosure
23543,7,PP,F,21,17,3/23/1996,Sat,Rodent Exclosure
23544,17,DM,M,37,45,3/23/1996,Sat,Control
23547,2,PE,F,20,18,3/23/1996,Sat,Control
23548,1,DM,M,40,58,3/23/1996,Sat,Spectab exclosure
23549,2,DM,M,38,44,3/23/1996,Sat,Control
23553,7,PP,M,23,21,3/23/1996,Sat,Rodent Exclosure
23560,18,PF,M,16,7,3/23/1996,Sat,Short-term Krat Exclosure
23561,1,DO,M,34,37,3/23/1996,Sat,Spectab exclosure
23565,2,DM,M,37,48,3/23/1996,Sat,Control
23575,12,DM,M,37,49,3/23/1996,Sat,Control
23579,17,OT,F,21,31,3/23/1996,Sat,Control
23581,17,PF,M,17,8,3/23/1996,Sat,Control
23584,12,DM,M,33,36,3/23/1996,Sat,Control
23589,17,DM,F,36,42,3/23/1996,Sat,Control
23591,18,PF,F,17,10,3/23/1996,Sat,Short-term Krat Exclosure
23592,2,RM,M,17,11,3/23/1996,Sat,Control
23599,18,RM,M,17,11,3/23/1996,Sat,Short-term Krat Exclosure
23602,21,RM,F,17,12,3/23/1996,Sat,Long-term Krat Exclosure
23603,16,DM,M,35,42,3/24/1996,Sun,Rodent Exclosure
23606,13,PF,M,16,9,3/24/1996,Sun,Short-term Krat Exclosure
23607,14,DM,M,36,49,3/24/1996,Sun,Control
23614,8,PP,M,22,21,3/24/1996,Sun,Control
23616,3,PF,F,16,8,3/24/1996,Sun,Long-term Krat Exclosure
23617,8,PP,F,21,16,3/24/1996,Sun,Control
23618,13,PM,F,22,20,3/24/1996,Sun,Short-term Krat Exclosure
23623,3,PP,M,22,18,3/24/1996,Sun,Long-term Krat Exclosure
23630,11,PM,F,19,14,3/24/1996,Sun,Control
23632,11,DO,M,36,43,3/24/1996,Sun,Control
23634,3,PP,F,22,15,3/24/1996,Sun,Long-term Krat Exclosure
23635,15,DM,M,39,48,3/24/1996,Sun,Long-term Krat Exclosure
23636,14,PP,F,24,18,3/24/1996,Sun,Control
23637,5,DO,F,36,49,3/24/1996,Sun,Rodent Exclosure
23639,10,RM,M,16,10,3/24/1996,Sun,Rodent Exclosure
23641,13,DM,F,36,39,3/24/1996,Sun,Short-term Krat Exclosure
23643,14,PP,M,22,22,3/24/1996,Sun,Control
23645,2,DM,F,37,47,4/14/1996,Sun,Control
23651,19,PF,F,17,9,4/14/1996,Sun,Long-term Krat Exclosure
23652,22,PF,F,17,8,4/14/1996,Sun,Control
23653,17,DM,M,38,40,4/14/1996,Sun,Control
23656,1,PF,M,15,8,4/14/1996,Sun,Spectab exclosure
23660,24,PM,M,20,18,4/14/1996,Sun,Rodent Exclosure
23661,18,PF,F,17,9,4/14/1996,Sun,Short-term Krat Exclosure
23662,17,DM,M,38,39,4/14/1996,Sun,Control
23665,21,PP,F,21,20,4/14/1996,Sun,Long-term Krat Exclosure
23668,19,PF,M,16,8,4/14/1996,Sun,Long-term Krat Exclosure
23671,20,RM,M,19,11,4/14/1996,Sun,Short-term Krat Exclosure
23673,17,DM,M,37,49,4/14/1996,Sun,Control
23678,22,PF,F,16,7,4/14/1996,Sun,Control
23687,2,DM,M,40,56,4/14/1996,Sun,Control
23688,18,PF,M,16,7,4/14/1996,Sun,Short-term Krat Exclosure
23691,17,PF,M,18,9,4/14/1996,Sun,Control
23692,18,PP,M,24,23,4/14/1996,Sun,Short-term Krat Exclosure
23704,18,PF,M,17,8,4/14/1996,Sun,Short-term Krat Exclosure
23710,12,OL,M,21,27,4/14/1996,Sun,Control
23711,19,PP,M,24,18,4/14/1996,Sun,Long-term Krat Exclosure
23713,23,RM,M,17,13,4/14/1996,Sun,Rodent Exclosure
23715,1,DO,M,37,38,4/14/1996,Sun,Spectab exclosure
23720,1,DO,M,34,37,4/14/1996,Sun,Spectab exclosure
23721,19,PF,M,17,9,4/14/1996,Sun,Long-term Krat Exclosure
23724,20,PP,F,24,25,4/14/1996,Sun,Short-term Krat Exclosure
23727,1,PF,F,15,7,4/14/1996,Sun,Spectab exclosure
23729,2,PE,F,20,22,4/14/1996,Sun,Control
23730,24,PE,M,20,20,4/14/1996,Sun,Rodent Exclosure
23733,13,PM,M,20,21,4/15/1996,Mon,Short-term Krat Exclosure
23741,3,PP,M,23,20,4/15/1996,Mon,Long-term Krat Exclosure
23744,8,PF,M,16,8,4/15/1996,Mon,Control
23746,3,PP,M,24,25,4/15/1996,Mon,Long-term Krat Exclosure
23749,4,DM,F,37,49,4/15/1996,Mon,Control
23750,3,DO,F,36,41,4/15/1996,Mon,Long-term Krat Exclosure
23756,11,DO,F,34,22,4/15/1996,Mon,Control
23760,13,PM,F,21,22,4/15/1996,Mon,Short-term Krat Exclosure
23762,3,DO,F,35,46,4/15/1996,Mon,Long-term Krat Exclosure
23766,11,DO,F,37,49,4/15/1996,Mon,Control
23770,3,DO,M,37,50,4/15/1996,Mon,Long-term Krat Exclosure
23775,14,DM,M,37,50,4/15/1996,Mon,Control
23776,3,RM,M,18,11,4/15/1996,Mon,Long-term Krat Exclosure
23777,4,PF,M,16,11,4/15/1996,Mon,Control
23782,13,PF,F,15,8,4/15/1996,Mon,Short-term Krat Exclosure
23786,15,PF,F,15,12,4/15/1996,Mon,Long-term Krat Exclosure
23788,11,PM,M,21,17,4/15/1996,Mon,Control
23789,8,DO,M,34,30,4/15/1996,Mon,Control
23796,13,PM,F,21,13,4/15/1996,Mon,Short-term Krat Exclosure
23797,4,PP,F,21,11,4/15/1996,Mon,Control
23800,8,PP,F,24,19,4/15/1996,Mon,Control
23804,3,PF,M,15,8,4/15/1996,Mon,Long-term Krat Exclosure
23806,15,DM,M,38,35,4/15/1996,Mon,Long-term Krat Exclosure
23810,11,DM,M,36,51,4/15/1996,Mon,Control
23812,3,PP,M,23,42,4/15/1996,Mon,Long-term Krat Exclosure
23814,6,OL,M,19,27,4/15/1996,Mon,Short-term Krat Exclosure
23816,3,OL,F,21,23,4/15/1996,Mon,Long-term Krat Exclosure
23818,3,PF,M,16,8,4/15/1996,Mon,Long-term Krat Exclosure
23824,9,DM,M,35,39,4/15/1996,Mon,Spectab exclosure
23826,14,DM,F,35,46,4/15/1996,Mon,Control
23831,15,PF,M,15,12,4/15/1996,Mon,Long-term Krat Exclosure
23833,11,RM,F,17,11,4/15/1996,Mon,Control
23838,9,DM,M,38,48,4/15/1996,Mon,Spectab exclosure
23841,4,DM,M,35,47,4/15/1996,Mon,Control
23844,8,PP,M,22,22,4/15/1996,Mon,Control
23846,14,DM,M,37,36,4/15/1996,Mon,Control
23847,15,PF,M,15,10,4/15/1996,Mon,Long-term Krat Exclosure
23849,8,DM,M,37,49,4/15/1996,Mon,Control
23855,4,DM,M,37,38,4/15/1996,Mon,Control
23857,9,PF,M,17,9,4/15/1996,Mon,Spectab exclosure
23858,5,PF,M,15,8,4/15/1996,Mon,Rodent Exclosure
23860,11,DO,M,36,53,4/15/1996,Mon,Control
23864,3,PP,F,21,16,4/15/1996,Mon,Long-term Krat Exclosure
23865,11,DM,M,35,53,4/15/1996,Mon,Control
23870,16,RM,M,18,10,4/15/1996,Mon,Rodent Exclosure
23874,15,PF,F,15,9,4/15/1996,Mon,Long-term Krat Exclosure
23875,8,PP,F,23,16,4/15/1996,Mon,Control
23882,21,PF,M,16,10,5/23/1996,Thu,Long-term Krat Exclosure
23883,12,DO,F,37,34,5/23/1996,Thu,Control
23884,21,PP,M,22,7,5/23/1996,Thu,Long-term Krat Exclosure
23885,22,PF,M,17,8,5/23/1996,Thu,Control
23887,22,PP,F,24,18,5/23/1996,Thu,Control
23888,21,PP,M,22,18,5/23/1996,Thu,Long-term Krat Exclosure
23889,18,PF,M,13,8,5/23/1996,Thu,Short-term Krat Exclosure
23890,12,DM,M,35,46,5/23/1996,Thu,Control
23891,1,DO,F,37,45,5/23/1996,Thu,Spectab exclosure
23893,21,PP,M,23,11,5/23/1996,Thu,Long-term Krat Exclosure
23894,12,NL,M,21,118,5/23/1996,Thu,Control
23895,2,DM,M,35,41,5/23/1996,Thu,Control
23896,21,PP,M,23,12,5/23/1996,Thu,Long-term Krat Exclosure
23903,18,PP,M,24,21,5/23/1996,Thu,Short-term Krat Exclosure
23904,2,DM,F,36,49,5/23/1996,Thu,Control
23912,2,PF,M,17,8,5/23/1996,Thu,Control
23916,12,DM,M,32,53,5/23/1996,Thu,Control
23918,1,DO,M,36,46,5/23/1996,Thu,Spectab exclosure
23924,20,PP,F,23,19,5/23/1996,Thu,Short-term Krat Exclosure
23927,22,DM,F,35,20,5/23/1996,Thu,Control
23939,12,DM,M,34,27,5/23/1996,Thu,Control
23941,7,PP,M,21,18,5/23/1996,Thu,Rodent Exclosure
23946,18,PP,M,23,20,5/23/1996,Thu,Short-term Krat Exclosure
23951,3,PP,M,22,20,5/24/1996,Fri,Long-term Krat Exclosure
23955,3,DO,F,35,35,5/24/1996,Fri,Long-term Krat Exclosure
23957,8,PP,F,23,19,5/24/1996,Fri,Control
23960,8,DO,F,34,47,5/24/1996,Fri,Control
23964,13,OT,M,20,26,5/24/1996,Fri,Short-term Krat Exclosure
23965,15,DM,M,36,42,5/24/1996,Fri,Long-term Krat Exclosure
23966,5,PF,M,15,9,5/24/1996,Fri,Rodent Exclosure
23967,3,PP,M,23,20,5/24/1996,Fri,Long-term Krat Exclosure
23968,15,PF,F,16,11,5/24/1996,Fri,Long-term Krat Exclosure
23973,15,PF,F,15,8,5/24/1996,Fri,Long-term Krat Exclosure
23975,6,DO,M,35,47,5/24/1996,Fri,Short-term Krat Exclosure
23983,4,DM,M,37,47,5/24/1996,Fri,Control
23984,15,PF,F,16,9,5/24/1996,Fri,Long-term Krat Exclosure
23990,6,DO,M,36,31,5/24/1996,Fri,Short-term Krat Exclosure
23995,13,PF,F,16,9,5/24/1996,Fri,Short-term Krat Exclosure
23996,6,PF,M,15,9,5/24/1996,Fri,Short-term Krat Exclosure
23997,8,PP,F,23,18,5/24/1996,Fri,Control
23998,15,PP,M,14,21,5/24/1996,Fri,Long-term Krat Exclosure
23999,10,RM,M,18,12,5/24/1996,Fri,Rodent Exclosure
24001,15,PP,M,24,20,5/24/1996,Fri,Long-term Krat Exclosure
24006,14,DM,F,38,49,5/24/1996,Fri,Control
24010,3,DO,M,38,44,5/24/1996,Fri,Long-term Krat Exclosure
24011,14,DM,F,35,61,5/24/1996,Fri,Control
24026,18,PF,F,15,10,6/13/1996,Thu,Short-term Krat Exclosure
24027,2,DM,M,40,53,6/13/1996,Thu,Control
24029,21,PP,F,21,18,6/13/1996,Thu,Long-term Krat Exclosure
24032,21,PP,M,22,18,6/13/1996,Thu,Long-term Krat Exclosure
24033,1,DO,F,38,49,6/13/1996,Thu,Spectab exclosure
24035,7,PP,F,23,18,6/13/1996,Thu,Rodent Exclosure
24036,12,DO,F,37,43,6/13/1996,Thu,Control
24044,1,PP,M,22,16,6/13/1996,Thu,Spectab exclosure
24046,12,DM,M,37,51,6/13/1996,Thu,Control
24048,2,PP,F,22,17,6/13/1996,Thu,Control
24055,19,PF,M,16,9,6/13/1996,Thu,Long-term Krat Exclosure
24056,1,PF,M,16,6,6/13/1996,Thu,Spectab exclosure
24058,17,DM,M,37,49,6/13/1996,Thu,Control
24061,21,PF,F,17,9,6/13/1996,Thu,Long-term Krat Exclosure
24062,23,RM,M,17,11,6/13/1996,Thu,Rodent Exclosure
24067,19,PP,M,20,12,6/13/1996,Thu,Long-term Krat Exclosure
24070,17,DM,M,36,22,6/13/1996,Thu,Control
24072,17,DM,F,36,51,6/13/1996,Thu,Control
24075,12,PM,M,21,20,6/13/1996,Thu,Control
24076,19,PF,M,16,10,6/13/1996,Thu,Long-term Krat Exclosure
24077,18,PF,F,16,10,6/13/1996,Thu,Short-term Krat Exclosure
24083,13,PP,M,24,19,6/14/1996,Fri,Short-term Krat Exclosure
24087,3,PP,M,23,19,6/14/1996,Fri,Long-term Krat Exclosure
24090,9,PF,M,16,8,6/14/1996,Fri,Spectab exclosure
24097,3,DO,F,35,49,6/14/1996,Fri,Long-term Krat Exclosure
24103,8,PP,F,23,18,6/14/1996,Fri,Control
24106,9,DM,F,36,40,6/14/1996,Fri,Spectab exclosure
24113,15,PF,F,16,10,6/14/1996,Fri,Long-term Krat Exclosure
24115,4,DM,M,38,47,6/14/1996,Fri,Control
24120,4,PF,M,15,5,6/14/1996,Fri,Control
24121,9,DM,M,38,49,6/14/1996,Fri,Spectab exclosure
24123,3,PF,M,16,7,6/14/1996,Fri,Long-term Krat Exclosure
24124,4,PF,M,17,10,6/14/1996,Fri,Control
24126,3,PE,F,20,23,6/14/1996,Fri,Long-term Krat Exclosure
24127,8,DO,M,37,47,6/14/1996,Fri,Control
24131,14,PP,F,23,15,6/14/1996,Fri,Control
24132,15,PP,F,23,19,6/14/1996,Fri,Long-term Krat Exclosure
24148,6,DO,F,38,52,6/14/1996,Fri,Short-term Krat Exclosure
24149,13,PF,M,17,9,6/14/1996,Fri,Short-term Krat Exclosure
24160,14,DM,M,37,48,6/14/1996,Fri,Control
24161,15,PF,F,17,10,6/14/1996,Fri,Long-term Krat Exclosure
24163,13,PP,M,23,13,6/14/1996,Fri,Short-term Krat Exclosure
24164,15,OT,M,21,26,6/14/1996,Fri,Long-term Krat Exclosure
24170,15,OL,F,21,21,6/14/1996,Fri,Long-term Krat Exclosure
24173,19,PP,M,22,18,7/20/1996,Sat,Long-term Krat Exclosure
24177,18,PF,M,15,9,7/20/1996,Sat,Short-term Krat Exclosure
24186,21,PP,F,23,19,7/20/1996,Sat,Long-term Krat Exclosure
24189,1,PP,F,22,16,7/20/1996,Sat,Spectab exclosure
24198,18,PP,M,23,19,7/20/1996,Sat,Short-term Krat Exclosure
24199,20,PP,M,24,20,7/20/1996,Sat,Short-term Krat Exclosure
24201,7,PP,F,23,17,7/20/1996,Sat,Rodent Exclosure
24204,7,PP,M,22,21,7/20/1996,Sat,Rodent Exclosure
24206,17,DM,M,37,49,7/20/1996,Sat,Control
24208,17,OT,M,22,28,7/20/1996,Sat,Control
24211,20,PF,M,16,10,7/20/1996,Sat,Short-term Krat Exclosure
24212,1,DO,F,35,58,7/20/1996,Sat,Spectab exclosure
24215,17,PP,M,21,20,7/20/1996,Sat,Control
24216,2,PB,F,26,24,7/20/1996,Sat,Control
24217,2,PP,M,23,12,7/20/1996,Sat,Control
24221,18,PF,F,15,10,7/20/1996,Sat,Short-term Krat Exclosure
24222,17,PF,F,16,7,7/20/1996,Sat,Control
24224,21,PP,F,22,26,7/20/1996,Sat,Long-term Krat Exclosure
24229,5,PF,M,17,6,7/21/1996,Sun,Rodent Exclosure
24235,15,PF,M,17,10,7/21/1996,Sun,Long-term Krat Exclosure
24236,3,DO,F,35,49,7/21/1996,Sun,Long-term Krat Exclosure
24239,15,PP,F,24,23,7/21/1996,Sun,Long-term Krat Exclosure
24247,11,PF,M,17,9,7/21/1996,Sun,Control
24251,8,DO,M,37,52,7/21/1996,Sun,Control
24254,9,OT,M,20,32,7/21/1996,Sun,Spectab exclosure
24256,4,DM,M,37,47,7/21/1996,Sun,Control
24258,6,DO,F,39,52,7/21/1996,Sun,Short-term Krat Exclosure
24259,8,DO,M,35,51,7/21/1996,Sun,Control
24260,14,DM,M,37,55,7/21/1996,Sun,Control
24261,9,DM,M,37,45,7/21/1996,Sun,Spectab exclosure
24265,15,PP,M,23,23,7/21/1996,Sun,Long-term Krat Exclosure
24267,8,DO,M,38,54,7/21/1996,Sun,Control
24271,13,DM,F,37,44,7/21/1996,Sun,Short-term Krat Exclosure
24272,3,DO,F,38,53,7/21/1996,Sun,Long-term Krat Exclosure
24274,3,PP,M,22,18,7/21/1996,Sun,Long-term Krat Exclosure
24276,3,PP,M,23,19,7/21/1996,Sun,Long-term Krat Exclosure
24280,22,DM,F,35,46,8/14/1996,Wed,Control
24281,19,PB,F,23,23,8/14/1996,Wed,Long-term Krat Exclosure
24290,12,DM,M,38,57,8/14/1996,Wed,Control
24291,21,PP,F,22,20,8/14/1996,Wed,Long-term Krat Exclosure
24293,17,DM,M,38,44,8/14/1996,Wed,Control
24294,1,PP,M,23,19,8/14/1996,Wed,Spectab exclosure
24296,19,PP,F,24,22,8/14/1996,Wed,Long-term Krat Exclosure
24298,1,DO,M,36,23,8/14/1996,Wed,Spectab exclosure
24303,1,PB,F,26,32,8/14/1996,Wed,Spectab exclosure
24304,12,DM,M,39,44,8/14/1996,Wed,Control
24307,2,PP,F,22,19,8/14/1996,Wed,Control
24309,20,PP,F,23,18,8/14/1996,Wed,Short-term Krat Exclosure
24310,7,PP,F,23,17,8/14/1996,Wed,Rodent Exclosure
24313,19,PP,M,22,15,8/14/1996,Wed,Long-term Krat Exclosure
24318,2,PP,M,23,15,8/14/1996,Wed,Control
24324,12,PP,F,23,16,8/14/1996,Wed,Control
24325,21,PP,F,24,21,8/14/1996,Wed,Long-term Krat Exclosure
24330,3,PP,F,22,16,8/15/1996,Thu,Long-term Krat Exclosure
24331,6,PP,M,23,15,8/15/1996,Thu,Short-term Krat Exclosure
24334,3,DO,F,34,48,8/15/1996,Thu,Long-term Krat Exclosure
24338,15,DM,M,37,41,8/15/1996,Thu,Long-term Krat Exclosure
24339,9,DM,F,37,45,8/15/1996,Thu,Spectab exclosure
24340,14,DM,F,37,48,8/15/1996,Thu,Control
24344,8,DO,F,36,55,8/15/1996,Thu,Control
24348,13,PP,M,22,18,8/15/1996,Thu,Short-term Krat Exclosure
24351,3,PP,M,22,17,8/15/1996,Thu,Long-term Krat Exclosure
24355,4,PP,M,23,12,8/15/1996,Thu,Control
24357,6,OT,M,20,22,8/15/1996,Thu,Short-term Krat Exclosure
24358,11,PP,F,22,11,8/15/1996,Thu,Control
24359,5,OT,F,21,22,8/15/1996,Thu,Rodent Exclosure
24362,3,PP,M,22,11,8/15/1996,Thu,Long-term Krat Exclosure
24364,3,PP,F,23,17,8/15/1996,Thu,Long-term Krat Exclosure
24366,9,DM,M,36,47,8/15/1996,Thu,Spectab exclosure
24368,3,PP,M,22,17,8/15/1996,Thu,Long-term Krat Exclosure
24376,8,PP,F,21,13,8/15/1996,Thu,Control
24377,4,PF,M,17,10,8/15/1996,Thu,Control
24382,13,PF,F,16,11,8/15/1996,Thu,Short-term Krat Exclosure
24383,6,OT,F,21,21,8/15/1996,Thu,Short-term Krat Exclosure
24390,17,DM,M,36,48,9/21/1996,Sat,Control
24392,23,PP,M,18,22,9/21/1996,Sat,Rodent Exclosure
24393,2,DM,F,33,26,9/21/1996,Sat,Control
24402,20,OT,F,20,27,9/21/1996,Sat,Short-term Krat Exclosure
24407,2,DM,F,35,42,9/21/1996,Sat,Control
24410,20,PF,M,16,8,9/21/1996,Sat,Short-term Krat Exclosure
24412,22,DM,F,23,54,9/21/1996,Sat,Control
24416,1,PF,M,15,7,9/21/1996,Sat,Spectab exclosure
24418,2,PP,F,20,20,9/21/1996,Sat,Control
24419,17,OT,M,19,13,9/21/1996,Sat,Control
24422,1,DO,M,37,41,9/21/1996,Sat,Spectab exclosure
24431,12,DM,F,35,43,9/21/1996,Sat,Control
24432,21,OT,M,22,15,9/21/1996,Sat,Long-term Krat Exclosure
24438,22,DM,F,30,52,9/21/1996,Sat,Control
24440,2,PB,F,25,24,9/21/1996,Sat,Control
24442,17,DM,M,37,50,9/21/1996,Sat,Control
24444,20,PB,M,26,25,9/21/1996,Sat,Short-term Krat Exclosure
24447,12,OT,M,23,27,9/21/1996,Sat,Control
24453,12,PF,F,15,8,9/21/1996,Sat,Control
24456,22,OT,F,22,24,9/21/1996,Sat,Control
24461,6,PP,F,21,15,9/22/1996,Sun,Short-term Krat Exclosure
24466,3,PP,F,21,17,9/22/1996,Sun,Long-term Krat Exclosure
24472,13,OT,F,20,16,9/22/1996,Sun,Short-term Krat Exclosure
24475,4,DM,M,38,51,9/22/1996,Sun,Control
24477,13,OT,F,20,18,9/22/1996,Sun,Short-term Krat Exclosure
24480,3,PB,F,27,26,9/22/1996,Sun,Long-term Krat Exclosure
24482,13,OT,M,20,14,9/22/1996,Sun,Short-term Krat Exclosure
24483,15,PP,M,21,15,9/22/1996,Sun,Long-term Krat Exclosure
24485,9,DO,M,34,50,9/22/1996,Sun,Spectab exclosure
24488,5,PP,F,21,16,9/22/1996,Sun,Rodent Exclosure
24492,3,PP,F,20,16,9/22/1996,Sun,Long-term Krat Exclosure
24494,3,PP,F,20,18,9/22/1996,Sun,Long-term Krat Exclosure
24499,11,DM,F,35,33,9/22/1996,Sun,Control
24501,13,OT,M,20,21,9/22/1996,Sun,Short-term Krat Exclosure
24505,3,PP,M,21,20,9/22/1996,Sun,Long-term Krat Exclosure
24513,16,PM,M,20,19,9/22/1996,Sun,Rodent Exclosure
24514,5,PF,M,17,8,9/22/1996,Sun,Rodent Exclosure
24523,15,OT,M,20,16,9/22/1996,Sun,Long-term Krat Exclosure
24524,8,OT,F,21,25,9/22/1996,Sun,Control
24530,14,DM,F,36,53,9/22/1996,Sun,Control
