record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week
316,10,17,1977,15,DM,M,37,48,1977-10-17,Monday
317,10,17,1977,17,DO,F,32,48,1977-10-17,Monday
318,10,17,1977,17,DM,M,33,29,1977-10-17,Monday
319,10,17,1977,14,DM,M,36,45,1977-10-17,Monday
320,10,17,1977,17,DM,F,35,39,1977-10-17,Monday
323,10,17,1977,17,DO,F,33,31,1977-10-17,Monday
330,10,18,1977,5,DM,M,37,43,1977-10-18,Tuesday
332,10,18,1977,12,PF,M,16,8,1977-10-18,Tuesday
334,10,18,1977,5,DM,F,37,45,1977-10-18,Tuesday
336,10,18,1977,12,DM,M,36,40,1977-10-18,Tuesday
337,10,18,1977,8,DO,F,35,41,1977-10-18,Tuesday
338,10,18,1977,12,DM,M,37,41,1977-10-18,Tuesday
340,10,18,1977,12,DM,F,36,39,1977-10-18,Tuesday
342,10,18,1977,16,DM,M,34,25,1977-10-18,Tuesday
345,11,12,1977,22,DM,F,34,45,1977-11-12,Saturday
346,11,12,1977,2,DM,F,37,36,1977-11-12,Saturday
347,11,12,1977,6,DM,F,38,40,1977-11-12,Saturday
348,11,12,1977,13,DM,M,36,44,1977-11-12,Saturday
350,11,12,1977,2,DM,M,37,47,1977-11-12,Saturday
352,11,12,1977,1,DM,M,36,40,1977-11-12,Saturday
354,11,12,1977,2,DM,M,38,44,1977-11-12,Saturday
356,11,12,1977,1,DO,F,32,44,1977-11-12,Saturday
357,11,12,1977,9,DS,F,50,117,1977-11-12,Saturday
358,11,12,1977,13,PF,F,16,7,1977-11-12,Saturday
359,11,12,1977,18,DM,M,36,40,1977-11-12,Saturday
360,11,12,1977,20,DM,F,35,39,1977-11-12,Saturday
361,11,12,1977,2,DM,F,36,40,1977-11-12,Saturday
362,11,12,1977,1,DS,F,51,121,1977-11-12,Saturday
364,11,12,1977,9,DM,M,37,46,1977-11-12,Saturday
365,11,12,1977,1,DM,F,38,35,1977-11-12,Saturday
367,11,12,1977,20,DS,M,51,115,1977-11-12,Saturday
368,11,12,1977,9,PF,F,16,7,1977-11-12,Saturday
369,11,12,1977,20,DM,F,36,39,1977-11-12,Saturday
370,11,12,1977,9,DM,M,35,40,1977-11-12,Saturday
371,11,12,1977,13,DM,M,36,40,1977-11-12,Saturday
372,11,12,1977,22,DM,F,36,35,1977-11-12,Saturday
373,11,12,1977,6,DM,M,34,36,1977-11-12,Saturday
374,11,12,1977,18,DM,M,37,44,1977-11-12,Saturday
375,11,12,1977,9,PF,F,15,6,1977-11-12,Saturday
376,11,12,1977,1,PF,F,15,7,1977-11-12,Saturday
377,11,12,1977,9,DS,F,48,120,1977-11-12,Saturday
378,11,12,1977,1,DO,M,33,48,1977-11-12,Saturday
379,11,13,1977,14,DM,M,36,44,1977-11-13,Sunday
380,11,13,1977,17,DM,F,33,38,1977-11-13,Sunday
381,11,13,1977,17,DS,F,48,118,1977-11-13,Sunday
382,11,13,1977,17,DM,M,37,40,1977-11-13,Sunday
383,11,13,1977,11,DS,F,52,126,1977-11-13,Sunday
384,11,13,1977,11,DM,M,36,37,1977-11-13,Sunday
385,11,13,1977,17,DS,M,50,132,1977-11-13,Sunday
388,11,13,1977,11,DM,F,36,39,1977-11-13,Sunday
391,11,13,1977,11,PF,M,15,7,1977-11-13,Sunday
392,11,13,1977,11,DS,F,53,122,1977-11-13,Sunday
394,11,13,1977,4,DS,F,48,107,1977-11-13,Sunday
395,11,13,1977,14,DM,M,36,43,1977-11-13,Sunday
396,11,13,1977,14,DM,F,36,40,1977-11-13,Sunday
397,11,13,1977,17,RM,F,16,7,1977-11-13,Sunday
398,11,13,1977,4,DS,F,50,115,1977-11-13,Sunday
399,11,13,1977,17,DM,F,36,39,1977-11-13,Sunday
404,11,14,1977,12,DM,M,37,40,1977-11-14,Monday
407,11,14,1977,5,DS,F,50,116,1977-11-14,Monday
408,11,14,1977,8,PF,F,9,6,1977-11-14,Monday
409,11,14,1977,12,DM,F,36,38,1977-11-14,Monday
410,11,14,1977,5,DS,M,53,137,1977-11-14,Monday
411,11,14,1977,5,DM,M,36,42,1977-11-14,Monday
412,11,14,1977,5,DS,M,52,126,1977-11-14,Monday
413,11,14,1977,8,DS,F,49,112,1977-11-14,Monday
414,11,14,1977,8,DO,F,34,39,1977-11-14,Monday
415,11,14,1977,5,DM,F,36,41,1977-11-14,Monday
420,12,10,1977,13,DM,F,38,48,1977-12-10,Saturday
421,12,10,1977,9,DS,F,51,121,1977-12-10,Saturday
422,12,10,1977,2,DM,F,37,42,1977-12-10,Saturday
423,12,10,1977,13,DM,M,36,42,1977-12-10,Saturday
424,12,10,1977,2,DM,M,37,52,1977-12-10,Saturday
425,12,10,1977,20,DM,F,36,38,1977-12-10,Saturday
426,12,10,1977,22,DM,M,36,45,1977-12-10,Saturday
427,12,10,1977,2,DM,F,37,37,1977-12-10,Saturday
428,12,10,1977,9,DO,F,33,40,1977-12-10,Saturday
430,12,10,1977,9,PF,F,15,7,1977-12-10,Saturday
433,12,10,1977,9,DM,M,38,44,1977-12-10,Saturday
434,12,10,1977,13,PF,F,16,7,1977-12-10,Saturday
436,12,10,1977,18,DM,F,37,33,1977-12-10,Saturday
437,12,10,1977,18,DM,F,37,38,1977-12-10,Saturday
438,12,10,1977,2,DM,M,36,47,1977-12-10,Saturday
439,12,10,1977,20,DM,F,36,39,1977-12-10,Saturday
440,12,10,1977,1,PF,F,16,7,1977-12-10,Saturday
443,12,10,1977,13,DM,M,35,42,1977-12-10,Saturday
444,12,10,1977,6,DM,M,38,36,1977-12-10,Saturday
447,12,10,1977,18,DM,M,37,44,1977-12-10,Saturday
448,12,10,1977,20,DS,M,51,116,1977-12-10,Saturday
449,12,10,1977,2,DM,M,35,43,1977-12-10,Saturday
450,12,10,1977,1,DO,M,33,45,1977-12-10,Saturday
451,12,10,1977,9,DS,F,51,116,1977-12-10,Saturday
453,12,10,1977,9,DM,M,36,42,1977-12-10,Saturday
454,12,10,1977,1,DM,F,36,38,1977-12-10,Saturday
461,12,11,1977,14,DM,M,36,41,1977-12-11,Sunday
462,12,11,1977,17,DM,M,36,40,1977-12-11,Sunday
463,12,11,1977,4,DS,M,49,134,1977-12-11,Sunday
464,12,11,1977,5,DS,M,49,139,1977-12-11,Sunday
466,12,11,1977,4,DS,F,51,118,1977-12-11,Sunday
467,12,11,1977,8,DO,F,32,41,1977-12-11,Sunday
468,12,11,1977,11,DM,M,35,37,1977-12-11,Sunday
470,12,11,1977,4,PF,M,15,6,1977-12-11,Sunday
472,12,11,1977,11,DS,F,49,127,1977-12-11,Sunday
474,12,11,1977,8,PF,F,15,6,1977-12-11,Sunday
477,12,11,1977,17,DS,F,47,115,1977-12-11,Sunday
479,12,11,1977,14,DM,F,36,40,1977-12-11,Sunday
480,12,11,1977,14,DS,F,47,114,1977-12-11,Sunday
481,12,11,1977,17,DM,F,35,37,1977-12-11,Sunday
482,12,11,1977,17,DM,M,37,46,1977-12-11,Sunday
483,12,11,1977,8,DS,M,49,149,1977-12-11,Sunday
484,12,11,1977,11,DM,F,37,38,1977-12-11,Sunday
485,12,11,1977,11,DS,M,52,127,1977-12-11,Sunday
487,12,11,1977,12,DM,F,38,36,1977-12-11,Sunday
488,12,11,1977,12,DM,M,37,41,1977-12-11,Sunday
490,12,11,1977,14,DM,M,37,44,1977-12-11,Sunday
491,12,11,1977,11,DS,M,48,138,1977-12-11,Sunday
492,12,11,1977,12,DS,M,49,110,1977-12-11,Sunday
493,12,11,1977,4,DS,F,49,110,1977-12-11,Sunday
496,12,11,1977,17,DM,F,36,37,1977-12-11,Sunday
498,12,11,1977,3,PF,M,16,7,1977-12-11,Sunday
499,12,11,1977,11,DS,F,51,121,1977-12-11,Sunday
502,12,11,1977,5,DM,F,36,43,1977-12-11,Sunday
505,1,8,1978,13,DM,M,36,43,1978-01-08,Sunday
507,1,8,1978,2,DM,M,35,44,1978-01-08,Sunday
508,1,8,1978,20,DM,F,36,36,1978-01-08,Sunday
510,1,8,1978,13,PF,F,16,8,1978-01-08,Sunday
511,1,8,1978,2,DM,M,36,38,1978-01-08,Sunday
512,1,8,1978,9,DS,F,48,122,1978-01-08,Sunday
514,1,8,1978,9,PF,M,16,7,1978-01-08,Sunday
516,1,8,1978,9,DM,M,38,46,1978-01-08,Sunday
517,1,8,1978,2,PE,M,26,22,1978-01-08,Sunday
518,1,8,1978,2,DM,M,36,38,1978-01-08,Sunday
519,1,8,1978,2,DM,M,38,48,1978-01-08,Sunday
520,1,8,1978,3,PF,M,15,7,1978-01-08,Sunday
521,1,8,1978,2,DM,M,36,43,1978-01-08,Sunday
522,1,8,1978,2,DM,F,37,35,1978-01-08,Sunday
523,1,8,1978,2,DM,M,36,43,1978-01-08,Sunday
525,1,8,1978,6,DM,M,34,36,1978-01-08,Sunday
526,1,8,1978,9,DS,F,51,117,1978-01-08,Sunday
527,1,8,1978,2,DM,F,37,37,1978-01-08,Sunday
528,1,8,1978,20,DS,M,51,122,1978-01-08,Sunday
529,1,8,1978,9,DM,M,36,43,1978-01-08,Sunday
530,1,8,1978,13,DM,M,37,42,1978-01-08,Sunday
538,1,9,1978,17,DM,M,36,40,1978-01-09,Monday
539,1,9,1978,17,DM,F,34,37,1978-01-09,Monday
540,1,9,1978,17,DS,F,47,117,1978-01-09,Monday
541,1,9,1978,11,DM,M,36,40,1978-01-09,Monday
542,1,9,1978,1,DM,M,36,40,1978-01-09,Monday
543,1,9,1978,4,DS,M,49,132,1978-01-09,Monday
545,1,9,1978,1,DM,F,38,36,1978-01-09,Monday
548,1,9,1978,8,DS,M,53,150,1978-01-09,Monday
549,1,9,1978,11,DM,M,38,44,1978-01-09,Monday
550,1,9,1978,14,DM,F,36,40,1978-01-09,Monday
551,1,9,1978,4,DS,F,50,126,1978-01-09,Monday
552,1,9,1978,11,DS,F,51,122,1978-01-09,Monday
553,1,9,1978,8,DS,F,50,136,1978-01-09,Monday
555,1,9,1978,14,DS,F,48,116,1978-01-09,Monday
556,1,9,1978,17,DM,F,36,38,1978-01-09,Monday
557,1,9,1978,11,DM,F,37,39,1978-01-09,Monday
558,1,9,1978,1,DS,F,49,135,1978-01-09,Monday
559,1,9,1978,14,DM,M,36,46,1978-01-09,Monday
560,1,9,1978,17,DS,M,50,133,1978-01-09,Monday
561,1,9,1978,11,DS,M,53,136,1978-01-09,Monday
564,1,10,1978,18,DS,F,51,141,1978-01-10,Tuesday
566,1,10,1978,18,DM,F,36,38,1978-01-10,Tuesday
567,1,10,1978,12,DM,F,36,35,1978-01-10,Tuesday
572,1,10,1978,18,DM,M,38,51,1978-01-10,Tuesday
574,1,10,1978,18,DM,F,34,33,1978-01-10,Tuesday
575,1,10,1978,18,DM,M,38,47,1978-01-10,Tuesday
576,1,10,1978,18,DM,M,36,49,1978-01-10,Tuesday
585,2,18,1978,2,DS,M,53,157,1978-02-18,Saturday
586,2,18,1978,13,DM,M,35,51,1978-02-18,Saturday
589,2,18,1978,20,DM,F,39,38,1978-02-18,Saturday
590,2,18,1978,2,PF,F,16,7,1978-02-18,Saturday
592,2,18,1978,22,DM,M,39,45,1978-02-18,Saturday
593,2,18,1978,2,DM,M,38,52,1978-02-18,Saturday
594,2,18,1978,9,DM,M,38,50,1978-02-18,Saturday
595,2,18,1978,2,DM,M,37,51,1978-02-18,Saturday
597,2,18,1978,20,DM,F,33,39,1978-02-18,Saturday
599,2,18,1978,3,OT,F,15,23,1978-02-18,Saturday
600,2,18,1978,2,DM,F,37,40,1978-02-18,Saturday
601,2,18,1978,2,DM,M,36,41,1978-02-18,Saturday
602,2,18,1978,13,DM,M,37,46,1978-02-18,Saturday
604,2,18,1978,2,PE,M,22,25,1978-02-18,Saturday
607,2,19,1978,5,DM,F,36,39,1978-02-19,Sunday
608,2,19,1978,17,DM,F,34,42,1978-02-19,Sunday
610,2,19,1978,17,DM,M,37,39,1978-02-19,Sunday
611,2,19,1978,21,OT,F,20,23,1978-02-19,Sunday
614,2,19,1978,4,DS,F,49,124,1978-02-19,Sunday
615,2,19,1978,5,DS,F,49,114,1978-02-19,Sunday
616,2,19,1978,11,DM,M,36,44,1978-02-19,Sunday
617,2,19,1978,11,DM,M,38,48,1978-02-19,Sunday
619,2,19,1978,14,DM,F,39,44,1978-02-19,Sunday
620,2,19,1978,8,DS,F,49,132,1978-02-19,Sunday
622,2,19,1978,17,DS,F,46,137,1978-02-19,Sunday
624,2,19,1978,4,DM,M,35,39,1978-02-19,Sunday
625,2,19,1978,5,DM,F,35,56,1978-02-19,Sunday
626,2,19,1978,17,OL,F,20,35,1978-02-19,Sunday
630,2,19,1978,5,OT,F,18,22,1978-02-19,Sunday
631,2,19,1978,5,OT,M,20,25,1978-02-19,Sunday
633,2,19,1978,8,DS,M,55,154,1978-02-19,Sunday
635,2,20,1978,15,DM,M,38,49,1978-02-20,Monday
636,2,20,1978,18,DM,F,36,44,1978-02-20,Monday
637,2,20,1978,18,DM,F,38,35,1978-02-20,Monday
638,2,20,1978,12,DM,F,37,36,1978-02-20,Monday
639,2,20,1978,1,DM,F,35,39,1978-02-20,Monday
640,2,20,1978,12,DS,F,50,133,1978-02-20,Monday
641,2,20,1978,15,DM,M,38,50,1978-02-20,Monday
642,2,20,1978,1,DM,M,36,43,1978-02-20,Monday
643,2,20,1978,15,DM,F,35,40,1978-02-20,Monday
644,2,20,1978,18,DM,M,38,45,1978-02-20,Monday
645,2,20,1978,12,DM,M,38,44,1978-02-20,Monday
646,2,20,1978,18,NL,M,32,228,1978-02-20,Monday
647,2,20,1978,1,DS,F,52,144,1978-02-20,Monday
648,2,20,1978,16,DM,F,37,46,1978-02-20,Monday
649,2,20,1978,16,DM,M,35,48,1978-02-20,Monday
650,3,11,1978,2,PF,F,15,7,1978-03-11,Saturday
651,3,11,1978,20,DM,M,38,45,1978-03-11,Saturday
652,3,11,1978,2,PF,M,14,8,1978-03-11,Saturday
653,3,11,1978,22,DS,F,47,133,1978-03-11,Saturday
654,3,11,1978,22,DM,F,37,40,1978-03-11,Saturday
655,3,11,1978,3,NL,M,32,232,1978-03-11,Saturday
656,3,11,1978,9,DS,F,49,128,1978-03-11,Saturday
657,3,11,1978,2,DS,M,54,153,1978-03-11,Saturday
658,3,11,1978,3,OT,F,21,22,1978-03-11,Saturday
659,3,11,1978,20,OT,F,20,21,1978-03-11,Saturday
660,3,11,1978,2,DM,M,37,53,1978-03-11,Saturday
662,3,11,1978,13,PF,F,15,8,1978-03-11,Saturday
663,3,11,1978,2,OT,M,18,25,1978-03-11,Saturday
664,3,11,1978,2,DM,M,35,43,1978-03-11,Saturday
665,3,11,1978,20,DM,F,35,43,1978-03-11,Saturday
666,3,11,1978,13,OL,M,21,38,1978-03-11,Saturday
667,3,11,1978,20,DM,F,35,42,1978-03-11,Saturday
668,3,11,1978,3,OT,M,21,26,1978-03-11,Saturday
669,3,11,1978,9,DS,F,50,146,1978-03-11,Saturday
670,3,11,1978,2,OT,F,20,25,1978-03-11,Saturday
671,3,11,1978,2,PE,M,20,28,1978-03-11,Saturday
672,3,11,1978,3,PF,M,15,8,1978-03-11,Saturday
674,3,11,1978,20,DS,M,49,122,1978-03-11,Saturday
677,3,12,1978,5,DS,M,52,137,1978-03-12,Sunday
678,3,12,1978,4,DS,M,49,131,1978-03-12,Sunday
679,3,12,1978,5,DS,F,49,125,1978-03-12,Sunday
684,3,12,1978,4,DM,M,35,43,1978-03-12,Sunday
688,3,12,1978,4,DS,F,48,141,1978-03-12,Sunday
689,3,12,1978,11,DS,M,53,138,1978-03-12,Sunday
690,3,12,1978,11,DM,M,36,43,1978-03-12,Sunday
691,3,12,1978,4,DS,F,50,124,1978-03-12,Sunday
694,3,12,1978,11,DM,F,37,43,1978-03-12,Sunday
696,3,12,1978,5,DM,F,37,45,1978-03-12,Sunday
697,3,12,1978,11,DM,M,36,46,1978-03-12,Sunday
699,3,12,1978,5,DM,F,36,43,1978-03-12,Sunday
700,3,12,1978,5,DM,M,37,49,1978-03-12,Sunday
702,3,12,1978,5,DM,M,35,47,1978-03-12,Sunday
708,3,12,1978,5,OT,M,20,26,1978-03-12,Sunday
710,3,13,1978,8,DS,M,49,152,1978-03-13,Monday
711,3,13,1978,18,DM,F,37,44,1978-03-13,Monday
712,3,13,1978,15,DM,M,36,48,1978-03-13,Monday
713,3,13,1978,8,OT,M,15,29,1978-03-13,Monday
715,3,13,1978,18,DM,M,36,49,1978-03-13,Monday
716,3,13,1978,15,DM,M,35,45,1978-03-13,Monday
718,3,13,1978,8,DO,M,35,57,1978-03-13,Monday
720,3,13,1978,8,DS,F,47,134,1978-03-13,Monday
721,3,13,1978,1,DM,F,37,44,1978-03-13,Monday
723,3,13,1978,8,OT,F,16,35,1978-03-13,Monday
724,3,13,1978,15,DM,M,37,48,1978-03-13,Monday
729,3,13,1978,15,DM,M,36,46,1978-03-13,Monday
731,4,8,1978,2,DS,F,47,110,1978-04-08,Saturday
770,4,9,1978,4,DM,M,37,26,1978-04-09,Sunday
771,4,9,1978,4,DM,M,35,44,1978-04-09,Sunday
773,4,9,1978,5,DM,M,37,48,1978-04-09,Sunday
774,4,9,1978,5,DM,M,36,39,1978-04-09,Sunday
775,4,9,1978,5,DM,M,37,44,1978-04-09,Sunday
776,4,9,1978,5,DM,M,37,45,1978-04-09,Sunday
777,4,9,1978,8,OT,M,20,27,1978-04-09,Sunday
778,4,9,1978,8,DM,M,36,36,1978-04-09,Sunday
781,4,9,1978,11,DM,F,37,45,1978-04-09,Sunday
782,4,9,1978,11,DM,M,37,47,1978-04-09,Sunday
783,4,9,1978,14,DS,F,47,90,1978-04-09,Sunday
785,4,9,1978,17,DM,M,39,49,1978-04-09,Sunday
786,4,9,1978,11,DS,M,52,131,1978-04-09,Sunday
787,4,9,1978,5,DS,F,50,114,1978-04-09,Sunday
788,4,9,1978,17,DM,M,36,42,1978-04-09,Sunday
789,4,9,1978,8,DS,M,52,148,1978-04-09,Sunday
790,4,9,1978,5,DS,F,50,76,1978-04-09,Sunday
791,4,9,1978,5,DS,M,53,141,1978-04-09,Sunday
792,4,9,1978,17,DM,F,34,42,1978-04-09,Sunday
793,4,9,1978,4,DS,F,49,121,1978-04-09,Sunday
794,4,9,1978,11,DM,M,35,44,1978-04-09,Sunday
795,4,9,1978,17,DO,F,33,55,1978-04-09,Sunday
796,4,9,1978,4,DS,M,50,133,1978-04-09,Sunday
797,4,9,1978,17,DS,M,50,142,1978-04-09,Sunday
798,4,9,1978,8,DS,F,48,142,1978-04-09,Sunday
799,4,9,1978,11,DM,F,36,46,1978-04-09,Sunday
800,4,9,1978,5,DM,F,35,50,1978-04-09,Sunday
801,4,9,1978,14,DS,F,46,142,1978-04-09,Sunday
803,4,9,1978,4,DS,F,48,84,1978-04-09,Sunday
804,4,9,1978,4,DM,M,34,42,1978-04-09,Sunday
805,4,9,1978,17,DS,F,47,142,1978-04-09,Sunday
806,4,9,1978,4,DS,F,47,118,1978-04-09,Sunday
807,4,9,1978,17,DM,F,35,43,1978-04-09,Sunday
808,4,9,1978,11,DS,F,51,132,1978-04-09,Sunday
809,4,9,1978,11,DS,F,47,75,1978-04-09,Sunday
814,4,10,1978,1,DS,M,55,168,1978-04-10,Monday
815,4,10,1978,1,DM,F,38,43,1978-04-10,Monday
816,4,10,1978,18,DS,F,46,84,1978-04-10,Monday
818,4,10,1978,1,DS,F,49,87,1978-04-10,Monday
820,4,10,1978,18,DM,F,35,42,1978-04-10,Monday
